run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2024-09-23_15.05.12,C-1,1908,2014,3,"[{'start_idx': 250, 'end_idx': 599, 'score': 6.170930065869078}, {'start_idx': 642, 'end_idx': 875, 'score': 6.3751274030954495}, {'start_idx': 1648, 'end_idx': 1852, 'score': 5.797772894859768}]",1,0,2,"[[892, 1125]]","[(500, 849), (1898, 2102)]",2,"[{'start_idx': 250, 'end_idx': 599, 'score': 6.170930065869078}, {'start_idx': 642, 'end_idx': 875, 'score': 6.3751274030954495}, {'start_idx': 1648, 'end_idx': 1852, 'score': 5.797772894859768}]",MSL,"[[550, 750], [2100, 2210]]","[point, contextual]"
2024-09-23_15.05.12,C-2,514,1801,0,[],0,2,0,[],[],2,[],MSL,"[[290, 390], [1540, 1575]]","[point, contextual]"
2024-09-23_15.05.12,D-1,2599,8259,1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 11.358275475122834}, {'start_idx': 5390, 'end_idx': 5459, 'score': 11.574140937872299}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.763758862567709}, {'start_idx': 5530, 'end_idx': 5599, 'score': 10.302477062640147}, {'start_idx': 5600, 'end_idx': 5669, 'score': 9.730278585540077}, {'start_idx': 5670, 'end_idx': 5739, 'score': 9.07352321051613}]",0,0,1,[],"[(5570, 5989)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 11.358275475122834}, {'start_idx': 5390, 'end_idx': 5459, 'score': 11.574140937872299}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.763758862567709}, {'start_idx': 5530, 'end_idx': 5599, 'score': 10.302477062640147}, {'start_idx': 5600, 'end_idx': 5669, 'score': 9.730278585540077}, {'start_idx': 5670, 'end_idx': 5739, 'score': 9.07352321051613}]",SMAP,"[[5250, 8508]]",[point]
2024-09-23_15.05.12,D-11,2361,7181,1,"[{'start_idx': 3990, 'end_idx': 4059, 'score': 14.369841873925777}, {'start_idx': 4060, 'end_idx': 4129, 'score': 11.997709172995384}]",0,0,1,[],"[(4240, 4379)]",1,"[{'start_idx': 3990, 'end_idx': 4059, 'score': 14.369841873925777}, {'start_idx': 4060, 'end_idx': 4129, 'score': 11.997709172995384}]",SMAP,"[[4270, 4330]]",[point]
2024-09-23_15.05.12,D-12,62,7668,2,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 0.745610035320276}, {'start_idx': 5180, 'end_idx': 5249, 'score': 1.6697841875911261}, {'start_idx': 5250, 'end_idx': 5319, 'score': 2.225967830780466}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.609683496439449}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.9048957862320375}, {'start_idx': 7070, 'end_idx': 7139, 'score': 6.146508343491012}, {'start_idx': 7140, 'end_idx': 7209, 'score': 6.261933802143231}]",0,0,1,[],"[(5360, 5709), (7320, 7459)]",1,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 0.745610035320276}, {'start_idx': 5180, 'end_idx': 5249, 'score': 1.6697841875911261}, {'start_idx': 5250, 'end_idx': 5319, 'score': 2.225967830780466}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.609683496439449}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.9048957862320375}, {'start_idx': 7070, 'end_idx': 7139, 'score': 6.146508343491012}, {'start_idx': 7140, 'end_idx': 7209, 'score': 6.261933802143231}]",SMAP,"[[5178, 7917]]",[point]
2024-09-23_15.05.12,D-13,1240,7413,1,"[{'start_idx': 4830, 'end_idx': 4899, 'score': 14.926109515524482}, {'start_idx': 4900, 'end_idx': 4969, 'score': 14.00401032958655}, {'start_idx': 4970, 'end_idx': 5039, 'score': 12.245948971435745}, {'start_idx': 5040, 'end_idx': 5109, 'score': 11.105083177010169}, {'start_idx': 5110, 'end_idx': 5179, 'score': 10.304998275197978}]",0,0,1,[],"[(5080, 5429)]",1,"[{'start_idx': 4830, 'end_idx': 4899, 'score': 14.926109515524482}, {'start_idx': 4900, 'end_idx': 4969, 'score': 14.00401032958655}, {'start_idx': 4970, 'end_idx': 5039, 'score': 12.245948971435745}, {'start_idx': 5040, 'end_idx': 5109, 'score': 11.105083177010169}, {'start_idx': 5110, 'end_idx': 5179, 'score': 10.304998275197978}]",SMAP,"[[5070, 5230]]",[point]
2024-09-23_15.05.12,D-14,3425,2375,1,"[{'start_idx': 1522, 'end_idx': 1862, 'score': 11.044876421244204}]",0,1,1,[],"[(1772, 2112)]",2,"[{'start_idx': 1522, 'end_idx': 1862, 'score': 11.044876421244204}]",MSL,"[[1630, 1650], [1800, 2000]]","[point, point]"
2024-09-23_15.05.12,D-15,1824,1908,0,[],0,1,0,[],[],1,[],MSL,"[[1500, 2140]]",[point]
2024-09-23_15.05.12,D-16,1201,1941,0,[],0,1,0,[],[],1,[],MSL,"[[600, 1250]]",[contextual]
2024-09-23_15.05.12,D-2,2630,8345,3,"[{'start_idx': 4410, 'end_idx': 4479, 'score': 18.22358813068956}, {'start_idx': 4480, 'end_idx': 4549, 'score': 14.161928388684561}, {'start_idx': 4550, 'end_idx': 4619, 'score': 12.265033638888665}, {'start_idx': 4620, 'end_idx': 4689, 'score': 11.125504044811922}, {'start_idx': 4690, 'end_idx': 4759, 'score': 10.330892578619249}, {'start_idx': 8190, 'end_idx': 8259, 'score': 0.3013846775474368}, {'start_idx': 8275, 'end_idx': 8344, 'score': 2.0858888322506233}]",0,0,1,[],"[(4660, 5009), (8440, 8509), (8525, 8594)]",1,"[{'start_idx': 4410, 'end_idx': 4479, 'score': 18.22358813068956}, {'start_idx': 4480, 'end_idx': 4549, 'score': 14.161928388684561}, {'start_idx': 4550, 'end_idx': 4619, 'score': 12.265033638888665}, {'start_idx': 4620, 'end_idx': 4689, 'score': 11.125504044811922}, {'start_idx': 4690, 'end_idx': 4759, 'score': 10.330892578619249}, {'start_idx': 8190, 'end_idx': 8259, 'score': 0.3013846775474368}, {'start_idx': 8275, 'end_idx': 8344, 'score': 2.0858888322506233}]",SMAP,"[[4319, 8536]]",[point]
2024-09-23_15.05.12,D-3,2630,8390,1,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 14.388568277576633}, {'start_idx': 5180, 'end_idx': 5249, 'score': 12.83161321184721}, {'start_idx': 5250, 'end_idx': 5319, 'score': 11.808346383291287}, {'start_idx': 5320, 'end_idx': 5389, 'score': 11.024330678109028}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.446216504472687}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.97301290858131}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.586074094345614}, {'start_idx': 5600, 'end_idx': 5669, 'score': 9.2120242529273}]",0,0,1,[],"[(5360, 5919)]",1,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 14.388568277576633}, {'start_idx': 5180, 'end_idx': 5249, 'score': 12.83161321184721}, {'start_idx': 5250, 'end_idx': 5319, 'score': 11.808346383291287}, {'start_idx': 5320, 'end_idx': 5389, 'score': 11.024330678109028}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.446216504472687}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.97301290858131}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.586074094345614}, {'start_idx': 5600, 'end_idx': 5669, 'score': 9.2120242529273}]",SMAP,"[[5225, 8500]]",[point]
2024-09-23_15.05.12,D-4,2583,8223,1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 11.758554177229026}, {'start_idx': 5110, 'end_idx': 5179, 'score': 11.521028752614166}, {'start_idx': 5180, 'end_idx': 5249, 'score': 11.00592277744872}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.51503395781431}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.068640917302906}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.710426309554355}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.38404356157326}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.061159634547035}]",0,0,1,[],"[(5290, 5849)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 11.758554177229026}, {'start_idx': 5110, 'end_idx': 5179, 'score': 11.521028752614166}, {'start_idx': 5180, 'end_idx': 5249, 'score': 11.00592277744872}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.51503395781431}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.068640917302906}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.710426309554355}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.38404356157326}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.061159634547035}]",SMAP,"[[5225, 8472]]",[point]
2024-09-23_15.05.12,D-5,2311,7378,0,[],0,1,0,[],[],1,[],SMAP,"[[4800, 4850]]",[point]
2024-09-23_15.05.12,D-6,2344,7634,1,"[{'start_idx': 4620, 'end_idx': 4689, 'score': 10.521539058163565}, {'start_idx': 4690, 'end_idx': 4759, 'score': 9.034432509205844}, {'start_idx': 4760, 'end_idx': 4829, 'score': 6.60391019146542}]",0,0,1,[],"[(4870, 5079)]",1,"[{'start_idx': 4620, 'end_idx': 4689, 'score': 10.521539058163565}, {'start_idx': 4690, 'end_idx': 4759, 'score': 9.034432509205844}, {'start_idx': 4760, 'end_idx': 4829, 'score': 6.60391019146542}]",SMAP,"[[4870, 4950]]",[point]
2024-09-23_15.05.12,D-7,2333,7392,3,"[{'start_idx': 4830, 'end_idx': 4899, 'score': 12.232533173817423}, {'start_idx': 4900, 'end_idx': 4969, 'score': 11.127532311609938}, {'start_idx': 4970, 'end_idx': 5039, 'score': 10.317765954725452}, {'start_idx': 5040, 'end_idx': 5109, 'score': 9.70126368422619}, {'start_idx': 5180, 'end_idx': 5249, 'score': 9.747734276790716}, {'start_idx': 5250, 'end_idx': 5319, 'score': 9.50442853372058}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.068606404588897}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.788313662311122}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.543260294055406}]",0,0,1,[],"[(5080, 5359), (5430, 5639), (5710, 5849)]",1,"[{'start_idx': 4830, 'end_idx': 4899, 'score': 12.232533173817423}, {'start_idx': 4900, 'end_idx': 4969, 'score': 11.127532311609938}, {'start_idx': 4970, 'end_idx': 5039, 'score': 10.317765954725452}, {'start_idx': 5040, 'end_idx': 5109, 'score': 9.70126368422619}, {'start_idx': 5180, 'end_idx': 5249, 'score': 9.747734276790716}, {'start_idx': 5250, 'end_idx': 5319, 'score': 9.50442853372058}, {'start_idx': 5320, 'end_idx': 5389, 'score': 9.068606404588897}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.788313662311122}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.543260294055406}]",SMAP,"[[4940, 7641]]",[point]
2024-09-23_15.05.12,D-8,2352,7624,1,"[{'start_idx': 4130, 'end_idx': 4199, 'score': 11.383817562251892}, {'start_idx': 4200, 'end_idx': 4269, 'score': 8.068366169853455}, {'start_idx': 4270, 'end_idx': 4301, 'score': 6.871564352502071}]",0,0,1,[],"[(4380, 4551)]",1,"[{'start_idx': 4130, 'end_idx': 4199, 'score': 11.383817562251892}, {'start_idx': 4200, 'end_idx': 4269, 'score': 8.068366169853455}, {'start_idx': 4270, 'end_idx': 4301, 'score': 6.871564352502071}]",SMAP,"[[4370, 4420]]",[point]
2024-09-23_15.05.12,D-9,2333,7156,1,"[{'start_idx': 6160, 'end_idx': 6229, 'score': 17.653559433606084}, {'start_idx': 6230, 'end_idx': 6299, 'score': 15.050651779831709}, {'start_idx': 6300, 'end_idx': 6369, 'score': 12.742417448596797}, {'start_idx': 6370, 'end_idx': 6439, 'score': 11.4283012282894}, {'start_idx': 6440, 'end_idx': 6509, 'score': 10.547784363768736}, {'start_idx': 6510, 'end_idx': 6579, 'score': 9.890799273497285}]",0,0,1,[],"[(6410, 6829)]",1,"[{'start_idx': 6160, 'end_idx': 6229, 'score': 17.653559433606084}, {'start_idx': 6230, 'end_idx': 6299, 'score': 15.050651779831709}, {'start_idx': 6300, 'end_idx': 6369, 'score': 12.742417448596797}, {'start_idx': 6370, 'end_idx': 6439, 'score': 11.4283012282894}, {'start_idx': 6440, 'end_idx': 6509, 'score': 10.547784363768736}, {'start_idx': 6510, 'end_idx': 6579, 'score': 9.890799273497285}]",SMAP,"[[6250, 7405]]",[point]
2024-09-23_15.05.12,E-1,2630,8266,2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 6.868335659304765}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.181316369461548}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.9234138032083665}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.118559540742829}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.132904480600032}]",0,0,2,[],"[(5010, 5149), (5640, 5849)]",2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 6.868335659304765}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.181316369461548}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.9234138032083665}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.118559540742829}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.132904480600032}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2024-09-23_15.05.12,E-10,2630,8255,2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 7.112843340006588}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.47721478181126}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.274478984400053}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.17730635862177}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.000110941831252}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.509196933830316}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.750243860302135}, {'start_idx': 5670, 'end_idx': 5701, 'score': 7.315931308393341}]",0,0,2,[],"[(5010, 5149), (5570, 5951)]",2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 7.112843340006588}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.47721478181126}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.274478984400053}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.17730635862177}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.000110941831252}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.509196933830316}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.750243860302135}, {'start_idx': 5670, 'end_idx': 5701, 'score': 7.315931308393341}]",SMAP,"[[5000, 5050], [5601, 5871]]","[contextual, contextual]"
2024-09-23_15.05.12,E-11,2630,8264,2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 6.744993875804147}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.075721456614052}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.918333428354446}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.696067740309461}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.361346528848475}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.770460202080027}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.974702741397822}, {'start_idx': 5670, 'end_idx': 5702, 'score': 7.53812322646497}]",0,0,2,[],"[(5010, 5149), (5570, 5952)]",2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 6.744993875804147}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.075721456614052}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.918333428354446}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.696067740309461}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.361346528848475}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.770460202080027}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.974702741397822}, {'start_idx': 5670, 'end_idx': 5702, 'score': 7.53812322646497}]",SMAP,"[[5000, 5050], [5614, 5857]]","[contextual, contextual]"
2024-09-23_15.05.12,E-12,2630,8262,1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 7.069932318928833}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.36529459433602}]",0,1,1,[],"[(5010, 5149)]",2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 7.069932318928833}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.36529459433602}]",SMAP,"[[5610, 6141], [5000, 5050]]","[contextual, contextual]"
2024-09-23_15.05.12,E-13,2630,8390,1,"[{'start_idx': 6230, 'end_idx': 6299, 'score': 4.973557477780012}]",0,2,1,[],"[(6480, 6549)]",3,"[{'start_idx': 6230, 'end_idx': 6299, 'score': 4.973557477780012}]",SMAP,"[[5309, 5410], [5600, 5640], [6449, 6569]]","[contextual, contextual, contextual]"
2024-09-23_15.05.12,E-2,2630,8282,2,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 3.1090980854634473}, {'start_idx': 4830, 'end_idx': 4899, 'score': 2.4183842697084836}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.7001801354264257}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.563271239790557}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.624193745512118}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.234635756355106}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.462744249311665}, {'start_idx': 5670, 'end_idx': 5708, 'score': 7.03990815332312}]",1,0,1,"[[5010, 5149]]","[(5570, 5958)]",1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 3.1090980854634473}, {'start_idx': 4830, 'end_idx': 4899, 'score': 2.4183842697084836}, {'start_idx': 5320, 'end_idx': 5389, 'score': 2.7001801354264257}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.563271239790557}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.624193745512118}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.234635756355106}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.462744249311665}, {'start_idx': 5670, 'end_idx': 5708, 'score': 7.03990815332312}]",SMAP,"[[5598, 6995]]",[point]
2024-09-23_15.05.12,E-3,2630,8057,0,[],0,1,0,[],[],1,[],SMAP,"[[5094, 8306]]",[point]
2024-09-23_15.05.12,E-4,2630,8104,1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 4.762639424830221}, {'start_idx': 4830, 'end_idx': 4899, 'score': 4.026567259083346}]",1,1,0,"[[5010, 5149]]",[],1,"[{'start_idx': 4760, 'end_idx': 4829, 'score': 4.762639424830221}, {'start_idx': 4830, 'end_idx': 4899, 'score': 4.026567259083346}]",SMAP,"[[5450, 8261]]",[point]
2024-09-23_15.05.12,E-5,2630,8044,1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.140978957230536}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.1697884993390137}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.140978957230536}, {'start_idx': 5390, 'end_idx': 5459, 'score': 2.1697884993390137}]",SMAP,"[[5600, 5920]]",[point]
2024-09-23_15.05.12,E-6,2630,8050,1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 17.27789886664187}, {'start_idx': 5390, 'end_idx': 5459, 'score': 13.473418900949673}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.654239017520117}]",0,0,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 17.27789886664187}, {'start_idx': 5390, 'end_idx': 5459, 'score': 13.473418900949673}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.654239017520117}]",SMAP,"[[5610, 5675]]",[point]
2024-09-23_15.05.12,E-7,2519,8060,1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 8.500323456181679}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.260340606442989}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.341325141513902}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.704028647664325}, {'start_idx': 5460, 'end_idx': 5509, 'score': 6.149982386758943}]",0,0,1,[],"[(5430, 5759)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 8.500323456181679}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.260340606442989}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.341325141513902}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.704028647664325}, {'start_idx': 5460, 'end_idx': 5509, 'score': 6.149982386758943}]",SMAP,"[[5394, 5674]]",[point]
